-527,-847,162
-626,-882,110
-600,-892,-99
-555,-1112,-112
-580,-968,83
-700,-699,365
-893,-579,317
-718,-658,187
-780,-708,564
-759,-742,552
-751,-690,299
-892,-390,-75
-697,-473,-114
-919,-653,-99
-965,-791,15
-924,-854,12
-989,-763,68
-1007,-729,-83
-942,-473,-243
-970,-597,-251
-993,-693,-314
-829,-364,212
-775,-332,349
-1063,-744,-40
-948,-929,-314
-842,-757,-582
-834,-334,-767
-841,-307,-677
-912,-315,-525
-732,106,-355
-782,-131,-301
-714,-429,-533
-500,-688,-729
-669,-606,-905
-704,-438,-866
-702,-437,-786
-768,-472,-851
-646,-427,-780
-447,-378,-587
-323,-498,-528
-177,-372,-756
-38,-346,-1165
-210,-287,-1269
-61,-187,-1038
-44,-29,-1008
-40,8,-962
16,-22,-804
260,61,-676
389,232,-750
288,260,-906
304,185,-781
422,148,-667
465,-132,-739
659,276,-717
269,448,-788
577,396,-806
385,478,-895
341,-188,-701
494,774,-110
417,1049,289
496,1137,87
611,1028,-319
768,747,-388
562,332,-356
595,368,-363
518,756,-330
504,1061,-235
492,889,-125
504,992,-18
498,1142,-204
500,974,-281
512,803,-92
399,856,97
453,895,104
408,1195,58
367,872,3
471,749,-20
420,957,395
464,894,58
433,827,35
397,970,475
435,843,172
419,848,165
312,865,633
423,364,507
315,503,465
381,1021,235
268,1823,203
306,1386,121
261,601,236
495,345,459
341,976,745
300,837,625
302,780,535
317,694,589
375,223,824
242,281,1131
228,558,903
335,649,674
272,462,710
234,346,765
153,611,899
192,582,875
153,490,774
273,447,820
96,279,963
125,317,920
184,491,863
218,327,752
155,268,793
117,-76,935
107,131,886
37,144,911
105,55,1079
-74,26,1241
-78,-89,1185
-103,-105,991
-76,20,872
-2,-34,763
-328,-97,1069
-327,-113,1097
-189,-456,1074
-230,-541,1157
-187,-419,939
9,-691,684
-251,-598,818
-87,-531,727
-271,-659,1078
-331,-628,1009
-232,-733,694
-237,-644,681
-236,-627,999
-202,-725,875
-253,-695,440
-130,-662,139
-174,-713,272
-241,-730,448
-313,-891,355
-301,-1005,98
-284,-826,1
-283,-556,-26
